,UID,RequestMode,WallTime,id,type,status,text,is_improved,dispatch_coord,WPT_1_type,WPT_1_name,WPT_2_type,WPT_2_name,RejoinType,RejoinWaypoint,EndpointLat,EndpointLon,SavingType,SavingsValue,SavingsUnits,FlightLevel
0,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.246693,-1,COMBO,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
1,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.246693,-1,LATERAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
2,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.246693,-1,VERTICAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
3,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.332156,-1,COMBO,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
4,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.332156,-1,LATERAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
5,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.332156,-1,VERTICAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
6,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.400258,-1,COMBO,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
7,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.400258,-1,LATERAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
8,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.400258,-1,VERTICAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
9,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.447479,-1,COMBO,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
10,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.447479,-1,LATERAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
11,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582484.447479,-1,VERTICAL,CLEARED,,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,NA,NA,NA,NA
12,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582489.633557,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.684,sec,320
13,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582489.633557,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.249,sec,NA
14,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582489.633557,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.886,sec,320
15,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582501.367258,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.3415,sec,NA
16,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582510.946379,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.891,sec,320
17,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582510.946379,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.925,sec,NA
18,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582510.946379,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.774,sec,320
19,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582510.974341,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.925,sec,NA
20,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582522.934081,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.52,sec,320
21,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582522.934081,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2075,sec,NA
22,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582522.934081,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.733,sec,320
23,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582522.957025,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2075,sec,NA
24,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582533.567892,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,15.307,sec,320
25,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582533.567892,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-2.3832,sec,NA
26,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582533.567892,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.67,sec,320
